,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA)
0,On The Rocks,86%,52%,R(SomeLanguage|SexualReferences),comedy,English,SofiaCoppola,"SofiaCoppola,YoureeHenley",SofiaCoppola,"Oct2,2020 limited","Oct23,2020",1h36m,"AmericanZoetrope,A24",Flat(1.85:1),,
1,The Sounding,63%,NotYetAvailable,,"mysteryandthriller,drama",English,CatherineEaton,"CatherineEaton,CaitlinGold,VeroniqueHuyghebaert,AlikiParaschis,JessicaVale",,,"Oct10,2020",1h33m,,,,
2,Wolfman's Got Nards,100%,86%,,"horror,documentary",English,AndreGower,,AndreGower,,"Oct27,2020",1h31m,,,,
3,The Witches,52%,39%,PG(Language|ThematicElements|ScaryImages/Moments),"comedy,adventure,fantasy",English,RobertZemeckis,"RobertZemeckis,JackRapke,GuillermodelToro,AlfonsoCuarón,LukeKelly","RobertZemeckis,KenyaBarris,GuillermodelToro",,"Oct22,2020",1h45m,"NecropiaEntertainment,TheJimHensonCompany,WarnerBros.,EsperantoFilmoj,ImageMovers,DoubleDareYou",Scope(2.35:1),,
4,J.R. 'Bob' Dobbs & The Church Of The SubGenius,100%,NotYetAvailable,,"comedy,documentary",English,SandyK.Boone,"MichelleRandolphFaires,AlyssaSpillerSajovich,JasonWehling,SuzanneWeinert",,"Oct16,2020 limited","Oct20,2020",1h20m,ProductionForUse,,,
5,The Place Of No Words,69%,NotYetAvailable,,drama,English,MarkWebber,"DustinHughes,KaiLillie,TeresaPalmer,MarkWebber",MarkWebber,"Oct23,2020 limited","Oct23,2020",1h35m,"MythicalFilms,WideAwakeCinema",,,
6,Nomad: In The Footsteps Of Bruce Chatwin,91%,64%,,documentary,English(UnitedKingdom),WernerHerzog,"SteveO'Hagan,LuckiStipetic",WernerHerzog,"Apr8,2020 limited","Oct25,2020",1h29m,,,,
7,Terra Willy: Unexplored Planet (Astro Kid),100%,83%,PG(SomeMildPeril),"animation,adventure,kidsandfamily,scifi,comedy",French(France),EricTosti,Jean-FrançoisTosti,"DavidAlaux,EricTosti,Jean-FrançoisTosti","Oct23,2020 limited","Oct27,2020",1h29m,"MasterFilms,LogicalPictures,BacFilms,Ciné+,CentreNationalduCinémaetdeL'imageAnimée,RégionOccitanie/Pyrénées-Méditerranée,Procirep,FranceTélévisions,SACEM,France3Cinéma,AgenceNationaledeGestiondes?uvresAudiovisuelles,OCS,TatProductions",Scope(2.35:1),DolbyDigital,
8,The True Adventures Of Wolfboy,75%,NotYetAvailable,PG-13(SomeStrongLanguage|Drinking|SexualReferences|MatureThematicContent|Violence),drama,English,MartinKrejcí,"DeclanBaldwin,LaurenBeck,BenjaminBlake,JoshGodfrey,KimberlySteward",OliviaDufault,,"Oct30,2020",1h28m,"BigIndiePictures,KPeriodMedia",,,
9,Last Call,81%,NotYetAvailable,,drama,English,GavinMichaelBooth,"GavinMichaelBooth,DavedWilkins","DavedWilkins,GavinMichaelBooth","Sep25,2020 limited","Oct27,2020",1h17m,MimeticEntertainment,,,
